장례식장명,요금카테고리,상품/항목명,가격,상품설명
러블리엔젤,봉안 및 특수 서비스 (VAT 별도),수목장 안치,별도문의,자연과 함께하는 영원한 안식
러블리엔젤,봉안 및 특수 서비스 (VAT 별도),안심 픽업 서비스,별도문의,원거리 이동 지원 (지역별 차등)
로이힐즈,추모 및 봉안 서비스 (가격 별도 문의),로이하우스,별도문의,"고별실, 염습실, 라운지 등 프리미엄 추모 시설"
로이힐즈,추모 및 봉안 서비스 (가격 별도 문의),로이브릿지,별도문의,아름다운 이별을 위한 특별한 공간
로이힐즈,추모 및 봉안 서비스 (가격 별도 문의),로이네스트,별도문의,안락하고 따뜻한 실내 봉안 시설
로이힐즈,추모 및 봉안 서비스 (가격 별도 문의),로이포레,별도문의,자연과 함께하는 숲속 테마 추모 공간
로이힐즈,추모 및 봉안 서비스 (가격 별도 문의),로이월,별도문의,정성 가득한 추모의 벽 (봉안담)
로이힐즈,추모 및 봉안 서비스 (가격 별도 문의),로이가든,별도문의,아름다운 정원 테마 추모 공간
리멤버,리멤버 장례 상품 (5kg 기준),리멤버장,"290,000원",기본 화장 패키지
리멤버,리멤버 장례 상품 (5kg 기준),엔젤장,"390,000원",기본 화장 + 용품 추가
리멤버,리멤버 장례 상품 (5kg 기준),무지개장,"520,000원",고급 장례 패키지
리멤버,리멤버 장례 상품 (5kg 기준),무지개고급장,"880,000원",VIP 장례 패키지
리멤버,리멤버 장례 상품 (5kg 기준),무지개VIP장,"1,430,000원",VVIP 프리미엄 장례 패키지
리멤버,리멤버 스톤 제작,5kg 미만,"200,000원",순도 100% 유골로 영원히 간직할 수 있는 스톤 (1회/전량 기준)
리멤버,리멤버 스톤 제작,5kg ~ 10kg,"250,000원",스톤 제작 5~10kg 기준
리멤버,리멤버 스톤 제작,10kg ~ 15kg,"300,000원",스톤 제작 10~15kg 기준
리멤버,리멤버 스톤 제작,15kg 이상 대형견 등,"350,000원~",대형동물 스톤 제작비
리멤버,픽업 서비스 & 기타 용품,픽업 서비스 (왕복),"40,000원~ (기본)",지역별 거리에 따라 요금 차등
리멤버,픽업 서비스 & 기타 용품,기능성 프리미엄 유골함,"100,000원~","밀폐기능, 고급 문양 등"
리멤버,픽업 서비스 & 기타 용품,옵션 이별 준비,"100,000원~","꽃, 초, 마지막 인사"
리멤버파크,등록 요금 정보 없음,-,전화 문의,-
리틀포즈,등록 요금 정보 없음,-,전화 문의,-
마스꼬따휴,등록 요금 정보 없음,-,전화 문의,-
메리온,장례 패키지 (5kg 기준),기본장,"200,000원","기본 유골함, 예식실 사용, 염습"
메리온,장례 패키지 (5kg 기준),일반장,"420,000원","일반 수의, 오동나무 관, 일반 유골함 등"
메리온,장례 패키지 (5kg 기준),고급장,별도 문의,"고급 수의, 오동나무 관, 고급 유골함 등"
메리온,장례 패키지 (5kg 기준),최고급장,별도 문의,"최고급 명주 수의, 최고급 관, 이중 유골함 등"
메리온,안치 (추모관),일반 추모관 (1년),"150,000원",추가 관리비 없음
메리온,안치 (추모관),고급 추모관 (1년),"250,000원",추가 관리비 없음
몽몽이엠파크,등록 요금 정보 없음,-,전화 문의,-
백꽃사랑하이빛,등록 요금 정보 없음,-,전화 문의,-
별다만,화장 (기본),1kg 미만,"150,000원","개별화장, 장례증명서"
별다만,화장 (기본),5kg 미만,"200,000원","개별화장, 장례증명서"
별다만,화장 (기본),10kg 미만,"250,000원","개별화장, 장례증명서"
별다만,기본 장례,1kg 미만,"170,000원","염습, 추모실, 개별화장, 유골함 등"
별다만,기본 장례,5kg 미만,"230,000원","염습, 추모실, 개별화장, 유골함 등"
별다만,기본 장례,10kg 미만,"280,000원","염습, 추모실, 개별화장, 유골함 등"
별다만,별다만 장례 패키지,5kg 미만,"550,000원","고급수의, 오동나무관 등 포함"
별다만,별다만 장례 패키지,10kg 미만,"650,000원","고급수의, 오동나무관 등 포함"
별다만,별다만 요람 장례 패키지,5kg 미만,"550,000원","수의보, 요람장 등 포함"
별다만,별다만 요람 장례 패키지,10kg 미만,"650,000원","수의보, 요람장 등 포함"
별이되다,일반동물 (15kg 미만 기준),베이직 장례,"250,000원",장례 한지이불 국화 나무유골함 보자기
별이되다,일반동물 (15kg 미만 기준),별장례,"500,000원",베이직장례 인견덮는형 고급면수의 고급오동나무관 국화 나무유골함 보자기 사진액자 꽃장식
별이되다,일반동물 (15kg 미만 기준),요람장례,"600,000원",장례 별이되다요람 국화 나무유골함 보자기 사진액자 꽃장식
별이되다,일반동물 (15kg 미만 기준),천사장례,"800,000원",장례 최고급오동나무관 최고급린넨수의 국화 나무유골함 보자기 사진액자 꽃장식
별이되다,일반동물 (15kg 미만 기준),꽃장식,"80,000원","베이직장례, 간소화장례 적용 가능"
서래안펫타운,등록 요금 정보 없음,-,전화 문의,-
스냅플러그,스냅플러그 장례 비용,기본 장례,"200,000원","개별 화장, 추모실 이용 등 포함"
스마일어게인,등록 요금 정보 없음,-,전화 문의,-
스윗드림펫,등록 요금 정보 없음,-,전화 문의,-
스타티스,장례 서비스 (체중 5kg 미만 기준),기본 장례,"250,000원",염습+화장+기본 유골함
스타티스,장례 서비스 (체중 5kg 미만 기준),고급 장례,"500,000원",염습+일반수의+오동나무관+국화꽃다발+화장+기능성유골함
스타티스,장례 서비스 (체중 5kg 미만 기준),VIP 장례,"850,000원",염습+고급수의+오동나무관+생화장식+호두나무 유골함
스타티스,봉안당 패키지,봉안당 패키지 (고급),"600,000원","고급장례 + 봉안당 (1단, 2단, 6단 중 택1) 1년 안치"
스타티스,봉안당 패키지,봉안당 패키지 (VIP),"1,200,000원",VIP장례 + VIP봉안당 1년 안치
스타티스,노블스톤(기념석) 패키지,노블스톤 장례 (기본),"750,000원",기본장례 + 노블스톤(30알) + 유리스톤함
스타티스,노블스톤(기념석) 패키지,노블스톤 패키지 (고급),"1,050,000원",고급장례 + 노블스톤(30알) + 자작나무스톤함 + 기본유골함
스타티스,노블스톤(기념석) 패키지,노블스톤 패키지 (VIP),"1,500,000원",VIP장례 + 노블스톤(30알) + 호두나무스톤함/달스톤함 + 일반유골함
스타티스,"봉안당 안치 (VAT 별도, 1년 기준)","일반 봉안당 1단, 2단, 6단","200,000원",일반 구성
스타티스,"봉안당 안치 (VAT 별도, 1년 기준)","일반 봉안당 3단, 4단","400,000원",일반 구성
스타티스,"봉안당 안치 (VAT 별도, 1년 기준)",일반 봉안당 5단,"300,000원",일반 구성
스타티스,"봉안당 안치 (VAT 별도, 1년 기준)","VIP 봉안당 1단, 2단, 6단","400,000원",VIP 구성
스타티스,"봉안당 안치 (VAT 별도, 1년 기준)","VIP 봉안당 3단, 4단","600,000원",VIP 구성
스타티스,"봉안당 안치 (VAT 별도, 1년 기준)",VIP 봉안당 5단,"500,000원",VIP 구성
스타티스,"픽업/운구 서비스 (편도 기준, VAT 별도)",기장군 무료 / 해운대구,"무료 / 20,000원","기장군(무료), 해운대구(2만)"
스타티스,"픽업/운구 서비스 (편도 기준, VAT 별도)",부산 금정/연제/동래/남구/수영,"30,000원",부산 1권역 편도
스타티스,"픽업/운구 서비스 (편도 기준, VAT 별도)",부산 부산진/북/사상/동/서/중/사하/강서/영도,"50,000원",부산 2권역 편도
스타티스,"픽업/운구 서비스 (편도 기준, VAT 별도)",경남권 1 (울산/김해/양산),"60,000원","울산, 김해, 양산 지역"
스타티스,"픽업/운구 서비스 (편도 기준, VAT 별도)",경남권 2 (창원/마산/진해/진주/거제/가덕도),"100,000원",거리 초과 경남 타 지역
스타티스,추가 비용 및 안내,체중 5kg~10kg 초과 시,"1kg당 10,000원",5kg 초과부터 10kg까지
스타티스,추가 비용 및 안내,산골 비용,"30,000원",유골을 뿌려주는 서비스
스타펫,기본 화장 비용 (기본 유골함 포함),1kg 미만,"180,000원",개별 화장 및 기본 추모 서비스
스타펫,기본 화장 비용 (기본 유골함 포함),5kg 미만,"200,000원",개별 화장 및 기본 추모 서비스
스타펫,기본 화장 비용 (기본 유골함 포함),10kg 미만,"230,000원",개별 화장 및 기본 추모 서비스
스타펫,기본 화장 비용 (기본 유골함 포함),15kg 미만,"260,000원",개별 화장 및 기본 추모 서비스
스타펫,기본 화장 비용 (기본 유골함 포함),20kg 미만,"300,000원",개별 화장 및 기본 추모 서비스
스타펫,기본 화장 비용 (기본 유골함 포함),20kg 이상,"300,000원~","20kg 기준가 + 1kg당 20,000원 추가"
스타펫,선택 서비스 및 용품,염습,"30,000원~",장례 지도사의 정갈한 수습
스타펫,선택 서비스 및 용품,삼베 수의,"70,000원~",전통 삼베 소재의 수의
