장례식장명,요금카테고리,상품/항목명,가격,상품설명
타임투,타임스톤 결합 패키지 (VAT 포함),베이직 타임스톤,"600,000원",베이직 장례 + 타임스톤 제작 + 기본 케이스
타임투,타임스톤 결합 패키지 (VAT 포함),타임투 타임스톤,"980,000원",타임투 패키지 + 타임스톤 + 고급 케이스
타임투,타임스톤 결합 패키지 (VAT 포함),프리미엄 타임스톤,"1,200,000원",프리미엄 패키지 + 타임스톤 + 특급 케이스 + 액자
파트라슈,기본 장례 비용,기본 화장 (5kg 미만),"200,000원 ~",-
파트라슈,기본 장례 비용,기본 화장 (5~15kg),"250,000원 ~",-
파트라슈,필수 포함 내역,기본 영정사진,무료,-
파트라슈,필수 포함 내역,개별 추모실,무료,-
파트라슈,필수 포함 내역,기본 유골함,무료,-
파트라슈,추가 선택 사항,수의/관,별도 비용,-
파트라슈,추가 선택 사항,메모리얼 스톤,"200,000원 ~",-
패투헤븐,패키지 장례,레귤러 패키지,별도 문의,"관, 수의, 유골함이 포함된 장례입니다."
패투헤븐,패키지 장례,스페셜 패키지,별도 문의,"관, 수의, 유골함이 포함된 장례입니다."
패투헤븐,패키지 장례,프리미엄 패키지,별도 문의,"관, 수의, 유골함이 포함된 장례입니다."
패투헤븐,패키지 장례,패투헤븐 패키지,별도 문의,"관, 수의, 유골함이 포함된 장례입니다."
패투헤븐,메모리얼 스톤 장례 패키지,레귤러 스톤 패키지,별도 문의,패키지 장례 + 메모리얼 스톤
패투헤븐,메모리얼 스톤 장례 패키지,스페셜 스톤 패키지,별도 문의,패키지 장례 + 메모리얼 스톤
패투헤븐,메모리얼 스톤 장례 패키지,프리미엄 스톤 패키지,별도 문의,패키지 장례 + 메모리얼 스톤
패투헤븐,메모리얼 스톤 장례 패키지,패투헤븐 스톤 패키지,별도 문의,패키지 장례 + 메모리얼 스톤
퍼스트펫,장례 패키지 (체중 무관),기본 장례 서비스,"250,000원",염습·개별화장·추모 예식·유골함 등 기본 제공
퍼스트펫,장례 패키지 (체중 무관),베이직 장례 I,"450,000원",기본 장례 + 칠성판 소형 + 편백함 소형
퍼스트펫,장례 패키지 (체중 무관),베이직 장례 II,"690,000원",수목장 또는 자연장을 염두에 둔 분해형 패키지
퍼스트펫,장례 패키지 (체중 무관),프리미엄 장례,"770,000원",최고급 수의와 호두나무 목함이 포함된 패키지
퍼스트펫,장례 패키지 (체중 무관),퍼스트 장례,"990,000원",퍼스트펫 최고의 장례 패키지 (맞춤 수의 및 액자 세트)
페어웰,등록 요금 정보 없음,-,전화 문의,-
펫노블레스,등록 요금 정보 없음,-,전화 문의,-
펫로스케어,등록 요금 정보 없음,-,전화 문의,-
펫메모리얼,등록 요금 정보 없음,-,전화 문의,-
펫바라기 남원점,등록 요금 정보 없음,-,전화 문의,-
펫바라기 일산점,등록 요금 정보 없음,-,전화 문의,-
펫오케스트라,오케스트라 기본 장례 비용,보호자님 동행,"350,000원 (소형견 기준, 대형견 오십만원)","염습, 단독추모실, 개별화장, 유골인도"
펫오케스트라,오케스트라 기본 장례 비용,보호자님 비동행,"350,000원 (소형견 기준, 대형견 오십만원)",동행 장례와 동일한 절차로 진행
펫오케스트라,부가 서비스 내용,리무진 서비스 (픽업/이동),왕복 5~7만원,지역에 따라 상이함
펫콤,등록 요금 정보 없음,-,전화 문의,-
펫포레스트 경기광주점,장례 패키지,스탠다드 장례,"350,000원","기본 유골함, 고급 보자기 등"
펫포레스트 경기광주점,장례 패키지,포레스트 장례,"700,000원","고급 수의, 고급 오동나무관, 포레스트 유골함 등"
펫포레스트 경기광주점,장례 패키지,프리미엄 장례,"1,400,000원","최고급 수의, 최고급 오동나무관, 기능성 유골함 등"
펫포레스트 경기광주점,장례 패키지,스탠다드 루세떼 장례,"1,000,000원",스탠다드 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 경기광주점,장례 패키지,포레스트 루세떼 장례,"1,350,000원",포레스트 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 경기광주점,장례 패키지,프리미엄 루세떼 장례,"1,750,000원",프리미엄 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 김포점,장례 패키지,스탠다드 장례,"350,000원","기본 유골함, 고급 보자기 등"
펫포레스트 김포점,장례 패키지,포레스트 장례,"700,000원","고급 수의, 고급 오동나무관, 포레스트 유골함, 액자, 발도장 클레이 등"
펫포레스트 김포점,장례 패키지,프리미엄 장례,"1,400,000원","최고급 수의, 최고급 오동나무관, 기능성 유골함, 꽃다발, 포레스트 하우징, 액자 등"
펫포레스트 김포점,장례 패키지,스탠다드 루세떼 장례,"1,000,000원",스탠다드 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 김포점,장례 패키지,포레스트 루세떼 장례,"1,350,000원",포레스트 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 김포점,장례 패키지,프리미엄 루세떼 장례,"1,750,000원",프리미엄 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 남양주점,장례 패키지,스탠다드 장례,"350,000원","기본 유골함, 고급 보자기 등"
펫포레스트 남양주점,장례 패키지,포레스트 장례,"700,000원","고급 수의, 고급 오동나무관, 포레스트 유골함, 액자, 발도장 클레이 등"
펫포레스트 남양주점,장례 패키지,프리미엄 장례,"1,400,000원","최고급 수의, 최고급 오동나무관, 기능성 유골함, 꽃다발, 포레스트 하우징, 액자 등"
펫포레스트 남양주점,장례 패키지,스탠다드 루세떼 장례,"1,000,000원",스탠다드 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 남양주점,장례 패키지,포레스트 루세떼 장례,"1,350,000원",포레스트 장례 + 루세떼 제작 + 유리병 + 보증서
펫포레스트 남양주점,장례 패키지,프리미엄 루세떼 장례,"1,750,000원",프리미엄 장례 + 루세떼 제작 + 유리병 + 보증서
펫포유,장례서비스 (5kg 미만 기준),기본 장례,"180,000원",개별화장(단독) + 기본유골함
펫포유,장례서비스 (5kg 미만 기준),펫포유 장례,"200,000원",염 + 단독추모실 + 국화헌화 + 종교용품 + 개별화장 + 기본유골함
펫포유,장례용품 (선택),수의,"100,000원~",삼베 / 면
펫포유,장례용품 (선택),수의보,"120,000원~",인견 / 명주
펫포유,장례용품 (선택),관,"100,000원~",오동나무
펫포유,장례용품 (선택),기능성 유골함,"80,000원~","부패 방지, 냄새 차단"
펫포유,루세떼 제작,루세떼 제작,"600,000원",루세떼 제작 + 유리 봉안함 (유골량 150g 기준)
포이리스,등록 요금 정보 없음,-,전화 문의,-
포포즈 경기광주점,등록 요금 정보 없음,-,전화 문의,-
포포즈 김포점,등록 요금 정보 없음,-,전화 문의,-
포포즈 김해점,등록 요금 정보 없음,-,전화 문의,-
포포즈 부산점,등록 요금 정보 없음,-,전화 문의,-
포포즈 세종점,등록 요금 정보 없음,-,전화 문의,-
포포즈 양주점,등록 요금 정보 없음,-,전화 문의,-
포포즈 화성점,등록 요금 정보 없음,-,전화 문의,-
푸른솔,등록 요금 정보 없음,-,전화 문의,-
하늘강아지,등록 요금 정보 없음,-,전화 문의,-
하늘별,등록 요금 정보 없음,-,전화 문의,-
하늘소풍,장례 서비스 패키지 (10kg 미만 기준),기본 장례,"250,000원","염습, 단독 추모실, 종교용품, 국화 헌화, 개별 화장, 단독 참관실, 기본 유골함"
하늘소풍,장례 서비스 패키지 (10kg 미만 기준),하늘 장례,"450,000원","염습, 고급 수의, 고급 오동나무 관, 단독 추모실, 종교용품, 국화 헌화, 개별 화장, 단독 참관실, 기본 유골함"
하늘소풍,장례 서비스 패키지 (10kg 미만 기준),소풍 장례,"750,000원","염습, 최고급 수의, 최고급 오동나무 관, 단독 추모실, 종교용품, 국화 헌화, 개별 화장, 단독 참관실, 최고급 보존 유골함"
하늘소풍,장례 서비스 패키지 (10kg 미만 기준),하늘 에퀴녹스 수목 장례,"650,000원",기본 장례 절차 + 하늘 에퀴녹스 수목장 1년 안장 비용 + 수목 전용 목함
하늘소풍,장례 서비스 패키지 (10kg 미만 기준),소풍 에퀴녹스 수목 장례,"950,000원",하늘 장례 절차 + 수목 전용 목함 + 소풍 에퀴녹스 수목장 1년 안장 비용
하늘소풍,장례 서비스 패키지 (10kg 미만 기준),프리미엄 에퀴녹스 수목 장례,"1,350,000원",하늘 장례 절차 + 최고급 매장 유골함 + 수목장 안장 + 맞춤 추모비
하늘소풍,장례 서비스 패키지 (10kg 미만 기준),리본 스톤 단독 제작,"350,000원",순수 유골만으로 제작되는 추모 보석
하늘소풍,안치 시설 및 부가 서비스,에퀴녹스 수목장,별도 문의,에퀴녹스 수목장 안치 시설
하늘소풍,안치 시설 및 부가 서비스,빌리지 봉안당,별도 문의,"고요하고 평온한 무지개다리 너머의 작은 마을, 빌리지 봉안당입니다."
하얀민들레,"기본 화장 비용 (염습, 사진, 추모제 포함)",1kg 미만,"100,000원~",소형견/묘 기준 (상세 요금 문의 보완)
하얀민들레,"기본 화장 비용 (염습, 사진, 추모제 포함)",5kg 미만,"200,000원~",일반 소형견/묘 기준
하얀민들레,"기본 화장 비용 (염습, 사진, 추모제 포함)",10kg 미만,"300,000원",중형견 기준
하얀민들레,"기본 화장 비용 (염습, 사진, 추모제 포함)",15kg 미만,"350,000원",중대형견 기준
하얀민들레,"기본 화장 비용 (염습, 사진, 추모제 포함)",대형견,별도문의,15kg 이상 대형견 상세 요금 문의
하얀민들레,선택 장례 용품,수제 한지 수의,"100,000원",정성껏 제작된 수제 한지 소재
하얀민들레,선택 장례 용품,삼베 수의,"130,000원",전통 삼베 소재 수의
하얀민들레,선택 장례 용품,유색 삼베 수의,"150,000원",고급스러운 유색 삼베 소재
하얀민들레,선택 장례 용품,칠성판,"70,000원",아이의 마지막 안식을 위한 판
하얀민들레,선택 장례 용품,고급관,"150,000원",고품격 오동나무 소재 관
하얀민들레,선택 장례 용품,원목함,"20,000원",기본 원목 소재 유골함
하얀민들레,선택 장례 용품,고급 기능성함,"100,000원",훼손 방지 기능성 유골함
하얀민들레,봉안 및 추모 서비스,메모리얼 스톤 (5kg 미만),"350,000원",영구 보존 가능한 보석화 작업
하얀민들레,봉안 및 추모 서비스,일반 봉안당 (1년),"100,000원",표준형 정기 안치 서비스
하얀민들레,봉안 및 추모 서비스,VIP 봉안당 (1년),"200,000원",프리미엄 채광 및 대형 공간 안치
한별,등록 요금 정보 없음,-,전화 문의,-
한별리멤버파크,등록 요금 정보 없음,-,전화 문의,-
한별소울펫,등록 요금 정보 없음,-,전화 문의,-
해늘마루,등록 요금 정보 없음,-,전화 문의,-
해피엔딩,"기본 화장 비용 (개별화장, 분골, 기본함 포함 / VAT 별도)",소형동물 (1kg 미만),"150,000원","햄스터, 새 등 특수동물 기준"
해피엔딩,"기본 화장 비용 (개별화장, 분골, 기본함 포함 / VAT 별도)",5kg 미만,"200,000원",일반 소형견/묘 기준
해피엔딩,"기본 화장 비용 (개별화장, 분골, 기본함 포함 / VAT 별도)",5kg ~ 10kg,"250,000원",5kg 초과 시 1kg당 1만원 추가
해피엔딩,"기본 화장 비용 (개별화장, 분골, 기본함 포함 / VAT 별도)",10kg ~ 15kg,"300,000원",5kg 초과 시 1kg당 1만원 추가
해피엔딩,"기본 화장 비용 (개별화장, 분골, 기본함 포함 / VAT 별도)",15kg ~ 20kg,"350,000원",5kg 초과 시 1kg당 1만원 추가
해피엔딩,"기본 화장 비용 (개별화장, 분골, 기본함 포함 / VAT 별도)",20kg 이상,"450,000원~",20kg 초과 시 1kg당 2만원 추가 (문의)
해피엔딩,선택 장례 용품 및 서비스 (VAT 별도),염습,"50,000원",정갈한 사체 수습 서비스
해피엔딩,선택 장례 용품 및 서비스 (VAT 별도),입관,"50,000원",정중한 입관 예식
해피엔딩,선택 장례 용품 및 서비스 (VAT 별도),일반 수의,"100,000원~",정성 가득한 수의
해피엔딩,선택 장례 용품 및 서비스 (VAT 별도),고급 수의,"300,000원",고품격 프리미엄 수의
해피엔딩,선택 장례 용품 및 서비스 (VAT 별도),제단 꽃장식,"150,000원~",아이의 마지막을 위한 꽃 장식
해피엔딩,선택 장례 용품 및 서비스 (VAT 별도),영안실 안치 (1일),"30,000원",장례 대기를 위한 저온 안치
해피엔딩,봉안 및 특수 서비스 (VAT 별도),메모리얼 스톤 (프레또),"250,000원",영구 보존 가능한 유골 보석화 (70g 미만)
해피엔딩,봉안 및 특수 서비스 (VAT 별도),픽업 서비스 (편도),"30,000원~",운구 지원 서비스 (지역별 차등)
해피엔딩,봉안 및 특수 서비스 (VAT 별도),산골 및 자연장,별도문의,평화로운 안식처 안치 서비스
해피엔딩,봉안 및 특수 서비스 (VAT 별도),봉안 시설 이용,별도문의,실내 봉안당 안치 안내
해피펫,등록 요금 정보 없음,-,전화 문의,-
